text,topic
"Toshiba Wins Support for HD DVD from 4 Film Studios  TOKYO (Reuters) - Toshiba Corp. said on Monday it had won  support for the HD DVD optical disc standard from Warner Bros.  Studios, Paramount Pictures, Universal Pictures and New Line  Cinema, advancing its cause in the battle for the  next-generation DVD.",Sci/Tech
"Yukos Lawyer Summoned As Company Appeals MOSCOW Sept. 6, 2004 - Prosecutors tightened the screws on Yukos on Monday, calling in the oil giant #39;s top in-house lawyer for questioning after searching his office and apartment on the same day the company ",Business
"Study: Spammers use e-mail ID to gain legitimacy With few junk e-mail filters supporting a protocol for verifying the source address of digital messages, spammers have adopted it themselves as a way to appear more legitimate, stated a report released on Wednesday.",Sci/Tech
Rossi shapes up to new challenges to remain MotoGP king Newly-crowned world champion Valentino Rossi expects his Yamaha factory bike will be faster next season to meet the challenges of Honda.,Sports
"EADS buys Racal Instruments European Aeronautic Defense and Space Co. NV, the parent of aircraft maker Airbus, Wednesday said it has agreed to acquire Racal Instruments Group for up to \$130 million.",Business
Massive insider trading claim Sharemarket watchdog the Securities Commission has filed unprecedented insider trading action against high-profile former owners and executives of Tranz Rail.,Business
"Cingular Closes \$41 Bln ATT Wireless Deal Cingular Wireless on Tuesday closed its \$41 billion cash purchase of AT amp;T Wireless Services Inc. (AWE), creating the biggest US mobile service with more than 46 million customers.",Business
"Good friends outside the ring, Byrd and McCline meet for &lt;b&gt;...&lt;/b&gt; Chris Byrd and Jameel McCline are good friends who both happen to make a living hitting people in the ring. They go to dinner together and hang out at each other #39;s houses.",Sports
F1: Montoya sets early pace Juan Pablo Montoya tops the times in the opening practice session at Interlagos.,World
"UK Owns IU, Kentucky Beats Hoosiers in Basketball Too Today at Freedom Hall, Patrick Sparks scored 16 points as the tenth-ranked Wildcats dominated the Hoosiers inside in a 73-to-58 victory.",Sports
"Ethnic Divide Risks Being Reinforced in Afghan Vote  MAZAR-I-SHARIF, Afghanistan (Reuters) - ""I am going to  prove that being Hazara is no longer a crime in this country.""",World
Raisin farmers meet yak herders? Must be the Slow Food f #234;te. The Slow Food movement builds an ivory tower in Italy to train holistic gastronomes.,World
Villeneuve checks in with Sauber Former champion Jacques Villeneuve will have his first test for Sauber in Spain this month after a seat fitting at the Formula One team #39;s Swiss factory on Thursday.,Sports
"Bomb scare for Spanish fans ABOUT 70,000 people were forced to evacuate Real Madrid #39;s Santiago Bernabeu stadium minutes before the end of a Primera Liga match yesterday after a bomb threat in the name of ETA Basque separatist guerillas.",Sports
"Hundreds of file-sharing lawsuits filed against Kazaa, Gnutella &lt;b&gt;...&lt;/b&gt; The very lawsuits that swept through US cyberspace have reportedly made their way across the Atlantic. The International Federation of the Phonographic Industry said Thursday that it filed 459 criminal and ",Sci/Tech
"New Somali President Calls for Peacekeepers  NAIROBI (Reuters) - Somalia's new president, Abdullahi  Yusuf, called on the world to send peacekeepers to disarm the  militias that rule his anarchic country while pledging his help  to fight international terrorism.",World
"Medtronic Wins FDA Approval on Insync Sentury ICD  CHICAGO (Reuters) - Medtronic Inc. &lt;A HREF=""http://www.reuters.co.uk/financeQuoteLookup.jhtml?ticker=MDT.N qtype=sym infotype=info qcat=news""&gt;MDT.N&lt;/A&gt; on Monday said  U.S. regulators approved its Insync Sentry implantable  defibrillator (ICD) months earlier than it expected.",Sci/Tech
Drop the towel and pick up the pen maybe even a little awed -y the sexed-up introduction to  quot;Monday Night Football. quot;. Really  -atings-starved network (ABC) using a sagging sports property ,Sports
"Mass. tech developer to be sold for \$163m Defense technology developer Foster-Miller Inc. of Waltham says it will be acquired for \$163 million by Britain's QinetiQ Group PLC, a public-private partnership with the United Kingdom Ministry of Defense.",Business
"Web services management vendors combine Web services management and security provider Digital Evolution on Monday is announcing its acquisition of former competitor Flamenco Networks, which has provided specialized network infrastructure for implementing SOAs (service-oriented architectures).",Sci/Tech
"Verizon, Qwest to Fight FCC Rate Freeze Verizon Communications Inc. and other parties have asked a federal court to throw out a set of temporary regulations banning giant regional phone companies from raising the wholesale rates they charge competitors for at least six months. &lt;FONT face=""verdana,MS Sans Serif,arial,helvetica"" size=""-2""\ color=""#666666""&gt;&lt;B&gt;-The Washington Post&lt;/B&gt;&lt;/FONT&gt;",Sci/Tech
Mariucci Says Notre Dame Called Him (AP) AP - Lions coach Steve Mariucci said Saturday he was contacted by Notre Dame about its coaching vacancy but decided to stay with Detroit.,Sports
Landmarks for India as Bangladesh Crumble Bangladesh slumped to 36 for five at tea today as India closed in on a victory within three days. Sachin Tendulkars Test career-best 248 not out and Zaheer Khans world record 75 for a number 11 had taken ,Sports
"Jail deaths 'disaster for Kenya' A Kenyan human rights group says the death of 56 inmates at a prison this year amounts to a ""national disaster"".",World
"UPDATE 1-Ferrero downed at China Open Juan Carlos Ferrero became the second major casualty of the China Open on Thursday, the number two seed losing 6-4 6-4 to American Kevin Kim in the second round.",Sports
"News: Rise of the Botnets The first half of 2004 saw a huge increase in zombie PCs. Also called bots, their average numbers monitored by security firm Symantec rose between January and June from under 2,000 to more than 30,000 per day - peaking at 75,000 on one day.\",Sci/Tech
"Callaghan back on Tufts soccer field After missing the first four games of the season with a hamstring injury, Northborough's Sarah Callaghan has returned to the Tufts University women's soccer team.",Sports
Experts Warn About Google Problems On Shared Computers NEW YORK -- It was supposed to be a tool to help people find stuff on their hard drives. But experts are warning that Google #39;s new search engine for computers may leave a person #39;s personal information at risk if they use shared computers.,Business
"Group Tracks US Companies That Send Jobs Offshore A union group on Thursday unveiled a Web site that lets users identify more than 200,000 US-based companies it says have exported American jobs or lost them because they were hurt by foreign trade.",Business
Plan unveiled to ease Iraq debt Germany has unveiled an international plan to wipe out tens of billions of dollars of Iraqi debt so that the war-torn country can rebuild in earnest.,World
"Rugby: New Zealand expects to make millions out of Lions #39; tour WELLINGTON : The British and Irish Lions have agreed to play an extra match in their three Test tour of New Zealand next year, the New Zealand Rugby Union (NZRU) revealed.",Sports
Frances-related accident claims Bowden relatives The grandson and former son-in-law of Florida State coach Bobby Bowden were killed late Sunday when their car was hit by a utility truck traveling from Texas to Florida to help restore power outages caused by Hurricane Frances.,Sports
Forces Boost Urged to Halt Darfur Killings Calls for the deployment of substantial African forces to Sudan to end the slaughter in Darfur were agreed by Liberal Democrats today.,World
"Strachan early favourite for Portsmouth job Redknapp and his No2 Jim Smith resigned from Portsmouth yesterday, leaving controversial new director Velimir Zajec in temporary control.",Sports
"India clears cricket team to begin Bangladesh tour (Reuters) Reuters - India said on Tuesday its national cricket team's Bangladesh tour could begin, after a threat from an Islamic militant group prompted a security review.",World
"Kabul Bomb Death Toll Rises, Up to 12 Believed Dead The toll from Sunday #39;s car bomb blast in Kabul rose Monday with different accounts from Western security forces and Afghan officials suggesting as many as a dozen people may have been killed.",World
"India ; India-EU summit was very successful: Manmohan India News, New Delhi: Prime Minister Manmohan Singh returned home early today after attending the India-EU summit at The Hauge. He was received by Minister of State in the Prime Minister #39;s Office Prithviraj Chauhan at the Palam Technical Area.",World
ABC Drops College Bowl Series  NEW YORK (Hollywood Reporter) - ABC has pulled out of  negotiations to continue airing college football's Bowl  Championship Series (BCS).,Sports
"Steel Partners Bids \$700 Mln for Gencorp US investment fund Steel Partners II on Thursday offered to buy 90 percent of Gencorp Inc. (GY.N: Quote, Profile, Research) it does not already own for about \$700 million ",Business
Hackers join dark side SECURITY EXPERTS MessageLabs say that there is evidence that virus writers are working hand in hand with spammers. ,Sci/Tech
WHO pushes for flu vaccine funding GENEVA -- The World Health Organization yesterday urged governments to provide funds to drug makers developing vaccines against a feared influenza pandemic which could kill millions.,World
"Intel Acquires Chip Designers From HP (AP) AP - Intel Corp. has reached an agreement to hire hundreds of Hewlett-Packard Co. engineers who helped design the Itanium microprocessor, a massive joint project between the two technology companies since the early 1990s.",Sci/Tech
"Militant Wanted in Pearl Abduction Killed (AP) AP - An Islamic militant wanted in connection with the murder of American Journalist Daniel Pear was killed in a shootout with police, according to Pakistani authorities on Wednesday, who also announced the arrest of a suspect in the deadly bombing near the U.S. Consulate in Karachi two years ago.",World
"Peoplesoft bounces back to profit Peoplesoft, the software maker that is the target of a hostile takeover bid from industry heavyweight Oracle, has returned to profit.",Business
"Gates touts software 'magic' to cut complexity COPENHAGEN -- Offering relief from managing complex, distributed systems, Microsoft Corp. Chief Software Architect Bill Gates took the stage of the IT Forum in Copenhagen Tuesday to introduce a handful of tools and a hatful of promises.",Sci/Tech
Florida Examines Higher Insurance Deductibles Reduced coverage means the hurricane's impact on insurance companies will be muted. And that is fostering anger among some politicians in Florida.,Business
"Israeli Troops Kill Palestinian Girl -- Witnesses (Reuters) Reuters - Israeli soldiers shot dead a 10-year-old\Palestinian girl on Thursday as she was walking to school in a\refugee camp in the Gaza Strip, witnesses said.",World
Indonesia Pursues Two Terror Suspects (AP) AP - Indonesian police pursued a manhunt Sunday for two of Southeast Asia's most wanted terrorism suspects while warning of the danger of more suicide attacks on Western interests in the wake of a lethal bombing outside the Australian Embassy.,World
BSkyB wins vote for shares buyback plan Shareholders in BSkyB made their objections to the group #39;s controversial buyback plan known yesterday when almost a fifth of the votes cast were in opposition to the proposal.,Business
"Packers #39; Green highlights NFC Players of the Week New York, NY (Sports Network) - Green Bay Packers running back Ahman Green, Detroit Lions defensive tackle Shaun Rogers and Arizona Cardinals kicker Neil Rackers were named the NFC Offensive, Defensive and Special Teams Players of the Week for Week 7 of ",Sports
"Shakhtar loses top goal-scorer Kiev, Ukraine (Sports Network) - Shakhtar Donetsk #39;s Champions League aspirations were dealt a severe blow Thursday when the club learned star striker Julius Aghahowa will be out for two weeks.",Sports
"Percival Signs 2-year deal with Tigers Just a few days after the start of the free agency period, the Tigers made their first big splash in free agency, coming to terms on a 2-year deal with former Angels closer Troy Percival.",Sports
"Good Scans Made Slowly For low-volume users who don't plan to rely on their scanner to do extensive photo restoration work, Visioneer's Xerox 6400 has lots of appeal.",Sci/Tech
"Dentsply Is More Than a Mouthful (The Motley Fool) The Motley Fool - Investing genius Peter Lynch liked to say that to find ""tenbaggers,"" that is, stocks that will increase in value by 10 times or more, you should start by looking close to home. In his book One Up on Wall Street, he also noted he liked to seek out companies in dull, disagreeable industries because they were often overlooked or shunned, giving individual investors a chance to purchase them at a discount.",Business
Concert for Beslan siege victims A fundraising concert will be held in London in memory of the hundreds of victims of the Beslan school siege.,World
"Flu Vaccine Distributor Cuts 2004 Views Medical products distributor Henry Schein Inc. lowered its financial targets for the rest of the year, citing the impact of British regulators shutting down its major supplier of flu vaccine on Tuesday.",Business
Dent moves past Aussie in China Open American Taylor Dent has squeezed in an opening-round victory over Australian Peter Luczak before rain washed out the rest of the day #39;s play at the China Open at Beijing.,Sports
Veritas to buy maker of e-mail storage tools Veritas Software announced Tuesday that it plans to acquire KVault Software in a move designed to expand its e-mail storage and archiving offerings.,Sci/Tech
Bali tourism still going strong The bombing outside the Australian Embassy in Jakarta appears not to have harmed Australia #39;s renewed love affair with Bali. Travel wholesalers have reported that since the first anniversary of the Bali bombing ,World
"Australia  amp; New Zealand Allen Lew, managing director of SingTel Optus Pty #39;s mobile unit, and Andy Reeves, chief technology officer at Vodafone Group Plc #39;s Australian unit, speak on a teleconference from Sydney ",Business
"Hurricanes, global warming and scientists: A volatile stew Pick two scientists, any two scientists with strong climatology credentials, and ask whether global warming has anything to do with the recent onslaught of hurricanes and typhoons.",Sci/Tech
Revamped art museum 'like teacup' The architect behind New York's revamped Museum of Modern Art likens it to a Japanese teacup.,World
"Crime dive lifts Mike #39;s spirits In what could have passed for a campaign kickoff, Mayor Bloomberg yesterday touted fresh statistics that show crime in the city continued to plunge this year.",Business
FA charges Keegan over referee insults Kevin Keegan has been charged with verbally abusing a match official following Manchester City #39;s 4-3 defeat by Newcastle United.,Sports
"At least five drugs deserve a safety review, official tells Senate &lt;b&gt;...&lt;/b&gt; Consumers looking for alternatives to Vioxx have other painkillers to choose from, ranging from similar prescription drugs such as Celebrex to that old medicine-chest standby, aspirin.",Business
"Belarus referendum result allows Lukashenko to serve third term MINSK: Voters in Belarus have overwhelmingly endorsed constitutional changes to allow authoritarian leader Alexander Lukashenko to seek a third tem in office, according to provisional results of a weekend referendum, the electoral commission chief has ",World
"Ryanair Won #39;t Use Aid, Pending Appeal Ryanair Holdings PLC will repay 4 million euros (\$5.1 million) in aid from a regional government in Belgium while it appeals a European Union finding that the funding was illegal.",Business
"Resurgent Davenport bests Venus Clearly, this is not the Venus Williams of old, so perhaps Lindsay Davenport #39;s 7-5, 6-4 fourth-round victory over Williams yesterday in the US Open no longer merits a gold star as a special achievement.",Sports
Guest columnist Administration #39;s salmon approach has been tried &lt;b&gt;...&lt;/b&gt; AS the Pacific Northwest debates the Bush administration #39;s recent proposal to count hatchery fish alongside wild fish in applying the Endangered Species Act - and its new plan to cut ,Business
"Hynix Q3 net profit quadruples on firm chip sales Third-quarter profits at Hynix Semiconductor Inc, the second-largest maker of basic memory chips, nearly quadrupled from a year ago on robust demand, but dropped from the previous quarter due to falling prices.",Business
"US drugmakers accused of violating antitrust law A San Francisco law firm filed an antitrust lawsuit Thursday in state court against 15 of the biggest drugmakers, alleging they have conspired to charge  quot;artificially higher prices ",Business
Shuttle #39;s spring 2005 launch delayed The first shuttle flight since the Columbia tragedy has been pushed back by NASA. This is due to hurricane damages and implementation of new safety measures.,Sci/Tech
Review: Halo 2 GamePro reviewer says: This is about as easy an Xbox buying decision as there is -- just do it.,Sci/Tech
Infineon to plead guilty in memory chip case Becomes the first company to plead guilty to conspiring with manufacturers to fix the prices of DRAM chips in a 2-year probe. WASHINGTON/SAN FRANCISCO: Germany #39;s Infineon Technologies AG has agreed to plead ,Business
At Least 6 Palestinians Killed in Israeli Raid on Gaza At least 6 Palestinians were killed and 24 were wounded today in an Israeli army raid near Khan Yunis in the Gaza Strip. The raid was designed to end days of mortar ,World
"(Sports Network) - Very quietly, the Philadelphia Phillies have &lt;b&gt;...&lt;/b&gt; are ahead of Larry Bowa #39;s team in the chase for the wild card. The Phillies. have 19 games to play, including 12 against teams with under-.",Sports
Landmine summit opens in Kenya A conference has opened in Kenya to try to eradicate the use of landmines around the world. Dozens of people are killed or injured by landmines every day and many of them are civilians.,World
Lycos calls off tactics to stop spam New York - The Web portal Lycos Europe on Friday terminated a spam-fighting campaign that had been criticized as a breach of Internet civility.,Sci/Tech
"Catering to the Consumers With Animal Appetites Omaha Steaks is venturing into the multibillion-dollar pet market, and it's not the only company hoping to go to the dogs.",Business
"Roddick, Venus make exits ATHENS -- Andy Roddick hit one final errant shot into the net and hung his head, his medal hopes over. A short while later, Venus Williams was gone, too. ",Sports
"Maradona to Return to Cuba on Monday for Drug Rehab  HAVANA (Reuters) - Fallen soccer great Diego Maradona will  return to Cuba Monday to be shut away in a mental clinic for  more drug treatment, Argentine diplomats said Friday.",Sports
Candidates Sound Off on Tech A computer industry group asks President Bush and Sen. John Kerry a dozen questions so voters can compare the presidential contenders' tech plans. By Staci D. Kramer.,Sci/Tech
Bills Get First Win Over Winless Dolphins (AP) AP - Takeo Spikes made good on his vow the Buffalo Bills would finally provide some good news for their fans this weekend.,Sports
Security Beyond Antivirus Programs (washingtonpost.com) washingtonpost.com - It happens all the time to unlucky or unwise Windows users: A new computer crashes and burns after a crippling virus or worm attack. But things can fall apart inside a new PC without such outside help; everyday use can cause a slower form of rot that eventually hobbles the system as thoroughly as a virus might.,Sci/Tech
"PM appreciates India, Pak. are committed to dialogue New Delhi, Sept. 6 (PTI): Prime Minister Manmohan Singh, today appreciated that both New Delhi and Islamabad were committed to the dialogue process as Pakistan Foreign Minister Khurshid Mehmood Kasuri, called on him here.",World
Four star Chelsea reclaim top spot from Arsenal LONDON (AFP) - Chelsea reclaimed the top spot in the Premiership with an emphatic 4-1 victory over Fulham as champions Arsenal edged a 5-4 thriller against Tottenham.,Sports
"Nigeria misses UN deadline to pull troops out of oilfields claimed by Cameroon (Canadian Press) Canadian Press - ABUJA, Nigeria (AP) - Nigeria failed to agree with Cameroon on a promised troop-pullout from disputed territory in the oil-rich Gulf of Guinea on Friday, a month after a UN-backed deadline for its hand-over to Cameroon passed.",World
"Stadiums go high tech Here #39;s another baseball stat to go with your morning coffee and news that the St. Louis Cardinals have defeated the Houston Astros to advance to the World Series: In October, 613 fans logged onto the Astros ",Sci/Tech
Merck Down on Arthritis Study Merck (MRK:NYSE - news - research) shares fell early Thursday after a study sponsored by the Food and Drug Administration concluded that its Vioxx arthritis drug put users at a greater risk to heart attacks than Pfizer #39;s (PFE:NYSE - news - research ,Business
"Sox Beat: Schilling eager to live up to billing It was a victory that occurred with all the subtlety of a bulldozer. The 9-3 thrashing that the Sox delivered in Anaheim proved so complete, so convincing, that it left few ",Sports
"Nintendo to Bring Music, Video to DS Game Machine &lt;p&gt;\&lt;/p&gt;&lt;p&gt; TOKYO (Reuters) - Nintendo Co. will begin selling an\adaptor for its DS and Game Boy Advance handheld game players\to allow them to play music and video, the company said,\matching a popular feature on Sony's portable game machine.&lt;/p&gt;",Sci/Tech
"Iran nuclear chief hails  #39;new chapter #39; with Europe after talks Iran #39;s top nuclear official Hassan Rowhani hailed Monday a  quot;new chapter quot; in relations between Tehran and Europe, after talks with key EU ministers on rewards Iran is to receive for suspending uranium enrichment to show it is not making atomic weapons.",World
"You Can Buy a Seat, but Can You Fit in It? Unlike major movie chains, many Broadway theaters have lagged behind (pun intended) when it comes to the most basic of audience amenities: their seats.",World
"Iraq Visit Clears Way for Japan Troops to Stay On (Reuters) Reuters - Japan's defense minister was due to\return home on Monday from a flying visit to Iraq after\declaring the town of Samawa safe, setting the stage for the\government to extend its troops' humanitarian mission there.",World
"Quantum buys Certance for \$60M OCTOBER 22, 2004 (COMPUTERWORLD) - Tape storage vendor Quantum Corp. announced this week that it has acquired Certance LLC, a maker of a competing tape drive technology for \$60 million in cash.",Sci/Tech
"Cardiac Researchers Make Surprising Heart Find PORTLAND, Ore. (AP) -- Newlywed Marc Schlotthauer had just returned from his honeymoon in California and fallen asleep in his Stayton bedroom, when his heart stopped cold...",Sci/Tech
FOOTBALL: I DON #39;T CARE IF IT #39;S TYNECASTLE OR MURRAYFIELD I #39;D BOSS &lt;b&gt;...&lt;/b&gt; THEY named a suite after John Robertson when he ended his 16-year association with Hearts in the summer of 1998. Many thought they should have erected a statue.,Sports
"Bombing in Lebanon Wounds Cabinet Minister BEIRUT, Lebanon - A car bomb exploded Friday in central Beirut, wounding a former Lebanese Cabinet minister and killing his driver, officials said.    Former Economy Minister Marwar Hamadeh reportedly suffered minor wounds and was in stable condition...",World
"Online firm in the frame for takeover THESTREET.COM, the financial news and commentary internet site, has emerged as a takeover target. TheStreet.coms shares, after enduring three tepid years on Americas tech-laden Nasdaq ",Business
"Chelsea still on course after Arsenal draw Chelsea have preserved their five-point lead over champions Arsenal after their pulsating London derby finished 2-2 at Highbury. Thierry Henry, who scored both the home side #39;s goals, took ",Sports
"Putin #39;s outdated illusions are dangerous Before the tragedy of Beslan, Vladimir Putin lived in a vibrant young democracy. Voters gave a Kremlin-backed party an overwhelming mandate in parliamentary elections in December, and ",World
"Common Antibiotic Can Trigger Cardiac Deaths By LINDA A. JOHNSON    (AP) -- A common antibiotic prescribed for 50 years to treat everything from strep throat to syphilis dramatically increases the risk of cardiac arrest, especially when taken with certain newer, popular drugs, a study found...",Sci/Tech
"Borzakovskiy becomes first Russian to win men #39;s 800 ATHENS : Yuriy Borzakovskiy became the first Russian runner to win the Olympic Games men #39;s 800 metres here. Lying at the back of the eight-man field at the bell, Borzakovskiy unleashed his trademark sizzling ",Sports
"Kodak, Sun Settle Java Patent Dispute (NewsFactor) NewsFactor - Sun Microsystems (Nasdaq: SUNW) has agreed to pay Eastman Kodak (NYSE: EK) US #36;92 million to settle\a lawsuit filed by Kodak concerning patent infringement in connection\with Java technologies.",Sci/Tech
"Kasuri says Pakistan ready to move away from UN resolution on &lt;b&gt;...&lt;/b&gt; New Delhi, Oct 26 (UNI) Pakistan Foreign Minister Khurshid Mahmud Kasuri has said Pakistan was ready to move away from its position on United Nations resolutions on Jammu and Kashmir provided India also agreed to do so.",World
"Alvin Harrison accepts four-year suspension He looked me straight in the eye last July at the Olympic Trials for track and field and said,  #39; #39;I #39;m innocent. #39; #39;.",Sports
" quot;Twelve Days of Christmas quot; True Love Gifts Have you ever considered giving your  quot;true love quot; everything offered in the traditional timeless song, Twelve Days of Christmas?",Business
Photo: Company president holds morale meeting Tim Farrelly held a meeting for his San Francisco staffing company Wednesday to raise morale after John Kerry lost the presidential election.,Sci/Tech
"PRINCE OF PUCKS: Players keeping busy The National Hockey League lockout may be officially a week old, but already a considerable number of its players are finding employment elsewhere.",Sports
"Network Security Cisco To Acquire Network-Monitoring Firm NetSolve The acquisition of NetSolve will enable Cisco and its channel partners to offer customers real-time monitoring of Cisco products and to help ensure continuous, secure operation of such services ",Sci/Tech
"Myskina Issues Ultimatum Over Sharapova (AP) AP - French Open champion Anastasia Myskina will quit Russia's Fed Cup team if Maria Sharapova joins the squad next year, saying she doesn't like the Wimbledon champion's father.",Sports
"NATO Set to Downgrade Ukraine Meet -- Diplomats  BRUSSELS (Reuters) - NATO is set to cancel a meeting of its  foreign ministers with the Ukrainian foreign minister scheduled  for Thursday to avoid high-level contacts with a government  accused of election fraud, diplomats said.",World
Fleming Becomes New Zealand #39;s Record Test Run-Scorer (Update2) Stephen Fleming hit an unbeaten 137 against Bangladesh on day one of the second Test to become New Zealand #39;s highest run-scorer in Test cricket.,Sports
"Viacom confirms MarketWatch interest Viacom Inc. confirmed Thursday that it plans to bid for the part of MarketWatch that it doesn #39;t already own. Viacom, which holds a 22.",Business
"NFL: Philadelphia 27, NY Giants 6 The Philadelphia Eagles clinched their fourth straight NFL East title Sunday with a 27-6 win over the New York Giants. Donovan McNabb passed for 244 yards and a touchdown and ran for another score for Philadelphia, 10-1.",Sports
"High Blood Pressure Dulls Emotions Elevated levels smooth out highs and lows, study says    HealthDayNews -- Higher blood pressure may dull a person's emotional response, smoothing out emotional highs and lows, says a study in the current issue of Psychosomatic Medicine.    Clemson University researchers checked the blood pressure of 65 volunteers and then showed them a series of photographs meant to elicit either a positive or negative emotional response...",Sci/Tech
"Cardinals Win Playoff Series, Braves Force Game 5 (Update2) Albert Pujols hit a tie-breaking three-run home run as the St. Louis Cardinals beat the Los Angeles Dodgers 6-2 to reach the National League Championship Series for the second time in three years.",Sports
"MmO2 unveils maiden dividend, denies merger rumours (AFP) AFP - British mobile telephone operator mmO2 said it would pay a maiden dividend at the end of the current financial year, while dismissing speculation of a possible takeover by Spain's Telefonica.",Sci/Tech
"Europe sets tone, trumps US duo of Woods, Lefty Bloomfield Township, Mich.- Nobody plays the underdog card better than European Ryder Cup players. It explains why Padraig Harrington and Colin Montgomerie practically tripped over people to get to the first tee Friday morning.",Sports
"Formula One Racing: Ferrari #39;s one-two is full of surprises MONZA, Italy Those who did not see the Italian Grand Prix on Sunday will not be surprised to hear that Ferrari finished first and second for the eighth time this season.",Sports
"Google Stock Falls as Share Lockups Expire Shares of Google Inc. (GOOG.O: Quote, Profile, Research) fell as much as 6.5 percent on Tuesday, as selling restrictions were lifted on 39 million shares held by employees and early ",Business
SpaceShipOne Goes For Next Flight Rocket plane SpaceShipOne is attempting a second space flight in a bid to clinch the \$10 million Ansari X-Prize. Judges officially confirmed that pilot Mike Melvill took the craft to 64 miles on Wednesday #39;s first flight.,Sci/Tech
"Former Suspect in Swedish PM Murder Mystery Dies (Reuters) Reuters - The only man ever brought to trial\for the 1986 murder of Swedish Prime Minister Olof Palme died\on Wednesday, leaving the case an enduring mystery after almost\20 years.",World
"Disney gives first dividend rise for six years Walt Disney, the US media and entertainment group, yesterday announced its first dividend increase in six years following sharply improved earnings.",Business
"US ignoring root causes of terror So began an interview of Pakistan President General Pervez Musharraf, who took time out to speak to ABC #39;s Peter Jennings on the sidelines of the UN General Assembly in New York last night.",World
"Chelsea Draws 0-0 at Home With Spurs; Everton, Newcastle Win Chelsea missed the chance to go level on points with Arsenal at the top of English soccer #39;s Premiership by drawing 0-0 at home with Tottenham.",Sports
Dutch Dioxin Scare Spreads to France and Spain (Reuters) Reuters - France and Spain were hit on Tuesday\by a dioxin contamination scare that has forced the closure of\almost 200 Dutch farms after the cancer-causing toxin was found\in animal feed.,Sci/Tech
"iTunes music store nowhere in sight VANCOUVER - When it comes to the world #39;s most popular legal music downloading service, Canadians were still waiting last night for the other song to drop.",Sci/Tech
"Occupation army invades Nablus, detains leader of al-Aqsa group The Israeli occupation army yesterday renewed its invasion of Nablus city to the north of the West Bank and imposed curfew, while the Israeli military vehicles were deployed intensively in several areas of the city.",World
"It's Final: No WiFi In ""Grantsdale"" Chipset (Ziff Davis) Ziff Davis - Intel Corp. has decided not to enable the wireless access-point functionality in its Intel 915/925X ""Grantsdale"" chipset, a company spokesman confirmed Friday afternoon.",Sci/Tech
"Northwest, Pilots Reach Tentative Accord on Pay Cut (Update4) Northwest Airlines Corp., the fourth- largest US airline, and its pilots union reached tentative agreement on a contract that would cut pay and benefits, saving the company \$265 million a year.",Business
Hoon plays down new Iraq troop move Defence Secretary Geoff Hoon has played down the prospect of fresh deployments of British troops into the American-controlled sector of Iraq.,World
"Drug-Resistant Infections on the Rise By Kathleen Doheny, HealthDay Reporter    HealthDayNews -- A bacterium that is becoming more resistant to first-line antibiotics is causing record numbers of skin infections in otherwise healthy children, according to a new study.    The bacterium, called methicillin-resistant Staphylococcus aureus (MRSA), is also emerging as a cause of pneumonia, which can be fatal...",Sci/Tech
